Name,URL,Date,Start,Location,Organizer,Cost,Summary
A Mayoral Forum for Minneapolis’ Future,https://thecapri.org/event/a-mayoral-forum-for-minneapolis-future/,10/15/2025,5:00:00 PM,"The Capri Theater, 2027 West Broadway, Minneapolis, MN 55411",The African American Leadership Forum,Free (registration required),"Shape the conversation about Minneapolis’s future at this community mayoral forum. Join neighbors and candidates for direction-setting on civic life, care, and community."
Capsule Wardrobing & Sustainable Sourcing,https://minneapolis.ce.eleyo.com/course/60030/adult-enrichment-fall-2025/capsule-wardrobing-sustainable-sourcing-lake-harriet-upper,10/15/2025,6:30:00 PM,Lake Harriet Upper,Minneapolis Community Education,,"Learn the principles of capsule wardrobing, identify your personal style, and discover sustainable garment sourcing. Bring clothes from your closet to re-style and explore options for re-homing unwanted items."
Community Art Night,https://nemaa.org/events/community-art-night-2/,10/15/2025,3:00:00 PM,Crayon Kelly Experience,,Free,Create art in a relaxed setting and connect with fellow community members during this open art night. Open to adults.
Community meeting and Q&A with St. Paul Mayor Melvin Carter,https://fmr.org/events/community-meeting-and-qa-st-paul-mayor-melvin-carter,10/15/2025,6:30:00 PM,"Highland Park Community Center Auditorium, St. Paul",FMR (Friends of the Mississippi River),Free,"Discuss community and River-related priorities for St. Paul and participate in a Q&A session. Open to public, focused on issues relevant to the local environment and sustainability of the Mississippi River."
Community Seed Circles,https://urbanrootsmn.org/event/community-seed-circles/,10/15/2025,6:00:00 PM,"Dayton's Bluff Library, 645 E 7th St, Saint Paul, MN",Urban Roots MN,Free,"Help sort seeds, replenish the seed library, and chat with neighbors about gardens. Volunteers receive orientation and tea."
Corks + Crafts,https://nemaa.org/events/corks-crafts/,10/15/2025,6:00:00 PM,Aki's BreadHaus & WunderBar,,Free,"Bring your project and craft alongside others in a cozy, social evening with curated drinks and food available for purchase."
Farm Friends Wednesdays,https://urbanrootsmn.org/event/farm-friends-wednesdays/,10/15/2025,4:00:00 PM,"1110 Payne Avenue, St. Paul MN 55130",Urban Roots MN,Free,"Help with fall harvests, prep produce for winter storage, and put gardens to bed. Participate in garden work and support sustainable food systems."
Plant And Clay Crawl – Personality Pots,https://nemaa.org/events/plant-and-clay-crawl-personality-pots-9/,10/15/2025,6:00:00 PM,Dame Errant,Dame Errant Clay and Mother Plants,$60 per person,Pick a plant and create a one-of-a-kind pot in this hands-on workshop that combines plant care and clay sculpting.
Pumpkins and Gourds in Botanical Watercolor,https://arb.umn.edu/learn/pumpkins-botanical-watercolor,10/15/2025,2:00:00 PM,"University of Minnesota Landscape Arboretum, 3675 Arboretum Drive, Chaska, MN 55318",University of Minnesota Landscape Arboretum,Advance Registration Required,Learn botanical watercolor techniques to accurately depict pumpkins and gourds in this class. All levels are welcome and materials are provided.
S'mores and Starwatch - Crosby Farm Regional Park (BIPOC-centered),"https://act.sierraclub.org/events/details?formcampaignid=701Po000018c5rKIAQ&mapLinkHref=https://maps.google.com/maps&daddr=S%27mores%20and%20Starwatch%20-%20Crosby%20Farm%20Regional%20Park%20(BIPOC-centered)@44.897605,-93.165574",10/15/2025,6:30:00 PM,"Crosby Farm Regional Park Pavilion, St. Paul, MN",Sierra Club North Star Chapter,,"Join for an evening of s'mores and starwatching at Crosby Farm Regional Park Pavilion. All supplies provided, event centering BIPOC community members."
"Women, Woods and Wine Hike",https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=569699671,10/15/2025,6:30:00 PM,Eastman Nature Center,Three Rivers Park District,$6.00,Enjoy a leisurely hike with other women and finish by the campfire. Bring your own wine if desired; reservations required.
"Grass, Milk & Cheese: A Forage-Based Dairy in Action",https://sfa-mn.org/events/grass-milk-cheese-a-forage-based-dairy-in-action/,10/16/2025,5:00:00 PM,"Fruitful Seasons Dairy 7917 County Rd 4W SW Alexandria, MN 56308",Sustainable Farming Association,,"Tour Fruitful Seasons Dairy and learn how Marv and Kathy Hoffman produce premium raw milk and cheese on a forage-only, organic diet. Discussion will cover organic dairy practices and pasture management."
Letterpress 1: Printing Basics (October),https://mnbookarts.org/events/letterpress-1-printing-basics-october-2025,10/16/2025,6:00:00 PM,"Minnesota Center for Book Arts, 1011 South Washington Avenue #100 Minneapolis, MN 55415",Minnesota Center for Book Arts,,"Get an introduction to MCBA’s print studio, including key equipment, tools, and terminology. Experience hands-on letterpress printing and print your own message. (This session runs Oct 16 and Oct 23; only the first date is listed here.)"
Makers Night,https://asimn.org/event/makers-night-7/,10/16/2025,6:00:00 PM,"American Swedish Institute, 2600 Park Ave, Minneapolis, MN 55407",American Swedish Institute,Free,"Bring a quiet handcraft project to work with fellow makers on the ASI front lawn. Share conversation, tips, and questions in this outdoor, community craft night."
Tree Planting at Midway Peace Park,https://www.givepulse.com/event/646750,10/16/2025,1:00:00 PM,"Midway Peace Park, Saint Paul, MN",Great River Greening,,Join a volunteer tree planting effort at Midway Peace Park to help restore urban green spaces. Open to the public and tools provided.
Trivia on the Trails: Bats,https://www.dodgenaturecenter.org/event/trivia-on-the-trails-bats/,10/16/2025,Sunrise,"365 Marie Avenue W, West St. Paul, MN 55118",Dodge Nature Center,Free,Begin a self-guided hike and test your knowledge about bats using trivia posted along the trails. Start at the kiosk across from the Main Office; trails are open from sunrise to sunset.
Yoga in the Gardens,https://arb.umn.edu/node/2331,10/16/2025,9:30:00 AM,"3675 Arboretum Drive, Chaska, MN 55318",Minnesota Landscape Arboretum,See website,Practice yoga surrounded by gardens and natural landscapes. Bring your own mat and enjoy the relaxing outdoor environment.
Chasing Birch and Balsam,https://asimn.org/event/chasing-birch-and-balsam/,10/17/2025,1:00:00 PM,"American Swedish Institute, 2600 Park Ave, Minneapolis, MN 55407",American Swedish Institute,$70 ($60 ASI member) + $30 material fee,Learn about Nordic woodland nutrition and medicinal herbal traditions with birch bark and balsam fir. Craft a botanical extract and infused oil for the skin to take home.
Fall Colors Guided Forest Bathing,https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=572577879,10/17/2025,2:00:00 PM,Cleary Lake Regional Park,Three Rivers Park District,Free,Engage in forest bathing with an ANFT-certified guide amidst peak fall colors. Experience sensory-based exercises to slow down and connect with the natural world. Reservations required.
Shinrin-yoku “Forest Bathing”: Experience the Tranquility of Nature,https://arb.umn.edu/learn/shinrin-yoku-fall25,10/17/2025,1:00:00 PM,"3675 Arboretum Drive, Chaska, MN 55318",Minnesota Landscape Arboretum,Advance registration required,"Enjoy the tranquility and well-being of Shinrin-yoku, a Japanese mindfulness practice. Experience guided, slow-paced walks in nature to enhance your connection with the environment."
"Skills for Survival: Hunt, Fish, Forage",https://www.dnr.state.mn.us/state_parks/event.html?id=84146,10/17/2025,2:00:00 PM,St. Croix State Park,Minnesota DNR,,"Learn and practice ancestral survival skills such as hunting, fishing, and foraging, with guidance on legal practices for public lands. Enhance your understanding of local plants and animals for sustainability and resourcefulness."
Beats & Breath,https://www.queermunitymn.com/beats-and-breath,10/18/2025,10:00:00 AM,"Queermunity, 3036 Hennepin Avenue, Minneapolis, MN 55408",Queermunity MN,$10-$15 suggested donation,"Move, stretch, and flow to music in this yoga-based movement class for all bodies. Bring a mat and water bottle; loose clothing recommended."
Collecting Native Seeds,https://sfa-mn.org/events/collecting-native-seeds/,10/18/2025,1:00:00 PM,"21 Roots Farm 10361 110th Street Grant, MN 55082",Twin Cities Metro Growers Network and MN SEED Project,,"Join this workshop to learn how to collect, clean, and sow native seeds for farm and garden use. Attract beneficial insects and support native landscapes by growing native plants."
Dayton’s Bluff: Flavorful Authentic Salsa with America,https://msmarket.coop/event/daytons-bluff-flavorful-authentic-salsa-with-america/,10/18/2025,10:00:00 AM,"Dayton’s Bluff Mississippi Market, 740 East 7th Street Saint Paul, MN 55106",Mississippi Market Co-op,$13.75,Learn how to make your own authentic salsas in hands-on instruction with America Jimenez.
Deepening Connections: Autumn Herbal Medicine and Magic,https://w-e-i.org/event/deepening-connections-autumn/,10/18/2025,9:30:00 AM,"Women's Environmental Institute, 15715 River Road, North Branch, MN",Women's Environmental Institute,,Meet local medicinal plants of autumn and learn about their healing uses in this class with master herbalist Gigi Stafne. Explore autumn plant medicines and their applications.
e-Commerce 1: Getting Started,https://springboardforthearts.org/event/e-commerce-1-getting-started/,10/18/2025,1:00:00 PM,Zoom Meeting (Virtual),Springboard for the Arts (with Hennepin County Library),,"Learn how to maximize your online sales with Shopify, Wix, Squarespace, Etsy, and other platforms. This workshop is geared towards beginners with little or no experience in e-Commerce."
